Artist Name,Song Name,Days,Top 10 (xTimes),Peak Position,Peak Position (xTimes),Peak Streams,Total Streams,Release Date,Genre,Broad Genre
Denzel Curry ,ZUU,1,0,143,0,290145,290145,2019/5/31,dark trap,Hip Hop
YoungBoy Never Broke Again ,I'm Up,1,0,113,0,290105,290105,2020/9/11,baton rouge rap,Hip Hop
Logic ,The Incredible True Story,3,0,180,0,107482,290019,2015/11/13,conscious hip hop,Hip Hop
Disclosure ,Birthday,1,0,118,0,289983,289983,2009/1/1,edm,Electronic
Faith Hill ,Where Are You Christmas,1,0,186,0,289962,289962,2000/1/1,contemporary country,Country
Justin Bieber ,There She Go,1,0,131,0,289943,289943,2024/4/5,canadian pop,Pop
Aminé ,Burden,1,0,132,0,289801,289801,1996/5/21,pop rap,Hip Hop
Tom Petty and the Heartbreakers ,Here Comes My Girl,1,0,108,0,289798,289798,1979/10/19,album rock,Rock
Arctic Monkeys ,Sculptures Of Anything Goes,1,0,156,0,289529,289529,2022/10/21,garage rock,Rock
Tyga ,FREAK,1,0,153,0,289470,289470,2020/3/13,hip hop,Hip Hop
Kanye West ,Up From The Ashes,1,0,125,0,289453,289453,2021/11/14,chicago rap,Hip Hop
Mac Miller ,We,2,0,137,0,166430,289452,2024/3/8,hip hop,Hip Hop
Sam Cooke ,(What A) Wonderful World  Mono,1,0,97,0,289430,289430,2023/5/24,classic soul,R&B
Conan Gray ,The Story,1,0,150,0,289282,289282,2007/4/3,bedroom pop,Pop
Pusha T ,Hear Me Clearly,1,0,124,0,289279,289279,2022/4/22,gangster rap,Hip Hop
Flume ,The Difference,1,0,154,0,289221,289221,2020/3/11,australian dance,Electronic
Ellie Goulding ,Codes,3,0,124,0,127527,289167,2022/11/3,indietronica,Pop
Christina Perri ,merry christmas darling,3,0,131,0,137048,289054,2002/10/15,pop,Pop
Laura Welsh ,Undiscovered,4,0,146,0,74009,289026,2006/1/1,gauze pop,Pop
TWENTY88 ,Time In,1,0,139,0,288985,288985,1974/9/26,pop r&b,R&B
Vince Guaraldi Trio ,Christmas Is Coming,1,0,188,0,288945,288945,2012/1/1,jazz trio,Jazz
The Beatles ,Something  Remastered,3,0,151,0,102764,288832,1969/9/26,british invasion,Rock
Lil Skies ,Through The Motions,1,0,168,0,288800,288800,2019/3/1,melodic rap,Hip Hop
Solange ,Binz,1,0,169,0,288738,288738,2019/3/1,afrofuturism,R&B
